"행정구역","2020년05월_계_총인구수","2020년05월_계_연령구간인구수","2020년05월_계_0세","2020년05월_계_1세","2020년05월_계_2세","2020년05월_계_3세","2020년05월_계_4세","2020년05월_계_5세","2020년05월_계_6세","2020년05월_계_7세","2020년05월_계_8세","2020년05월_계_9세","2020년05월_계_10세","2020년05월_계_11세","2020년05월_계_12세","2020년05월_계_13세","2020년05월_계_14세","2020년05월_계_15세","2020년05월_계_16세","2020년05월_계_17세","2020년05월_계_18세","2020년05월_계_19세","2020년05월_계_20세","2020년05월_계_21세","2020년05월_계_22세","2020년05월_계_23세","2020년05월_계_24세","2020년05월_계_25세","2020년05월_계_26세","2020년05월_계_27세","2020년05월_계_28세","2020년05월_계_29세","2020년05월_계_30세","2020년05월_계_31세","2020년05월_계_32세","2020년05월_계_33세","2020년05월_계_34세","2020년05월_계_35세","2020년05월_계_36세","2020년05월_계_37세","2020년05월_계_38세","2020년05월_계_39세","2020년05월_계_40세","2020년05월_계_41세","2020년05월_계_42세","2020년05월_계_43세","2020년05월_계_44세","2020년05월_계_45세","2020년05월_계_46세","2020년05월_계_47세","2020년05월_계_48세","2020년05월_계_49세","2020년05월_계_50세","2020년05월_계_51세","2020년05월_계_52세","2020년05월_계_53세","2020년05월_계_54세","2020년05월_계_55세","2020년05월_계_56세","2020년05월_계_57세","2020년05월_계_58세","2020년05월_계_59세","2020년05월_계_60세","2020년05월_계_61세","2020년05월_계_62세","2020년05월_계_63세","2020년05월_계_64세","2020년05월_계_65세","2020년05월_계_66세","2020년05월_계_67세","2020년05월_계_68세","2020년05월_계_69세","2020년05월_계_70세","2020년05월_계_71세","2020년05월_계_72세","2020년05월_계_73세","2020년05월_계_74세","2020년05월_계_75세","2020년05월_계_76세","2020년05월_계_77세","2020년05월_계_78세","2020년05월_계_79세","2020년05월_계_80세","2020년05월_계_81세","2020년05월_계_82세","2020년05월_계_83세","2020년05월_계_84세","2020년05월_계_85세","2020년05월_계_86세","2020년05월_계_87세","2020년05월_계_88세","2020년05월_계_89세","2020년05월_계_90세","2020년05월_계_91세","2020년05월_계_92세","2020년05월_계_93세","2020년05월_계_94세","2020년05월_계_95세","2020년05월_계_96세","2020년05월_계_97세","2020년05월_계_98세","2020년05월_계_99세","2020년05월_계_100세 이상"
"서울특별시  (1100000000)","9,724,496","9,724,496","47,776","53,356","56,588","61,977","68,513","69,595","68,383","73,751","73,367","75,603","70,735","72,825","79,184","75,177","72,194","75,680","81,155","81,292","88,338","106,612","112,538","116,121","127,522","137,222","149,647","156,136","163,794","171,760","171,268","157,912","152,299","149,897","141,973","141,469","142,831","138,910","149,030","156,742","163,864","161,540","159,962","142,543","140,873","139,202","142,823","151,247","162,122","166,320","170,200","174,807","166,041","169,508","152,694","144,897","147,296","149,289","137,811","155,262","146,742","166,835","156,401","145,848","140,483","131,236","126,928","131,457","102,869","102,954","94,487","79,292","88,154","83,088","84,224","82,241","57,400","62,224","59,343","66,379","62,632","49,273","45,235","41,769","35,845","32,218","28,637","24,291","19,622","16,391","13,837","10,984","9,309","8,272","6,334","4,821","3,382","2,501","2,159","2,021","1,394","1,000","6,511"
"서울특별시 종로구 (1111000000)","150,623","150,623","570","576","642","746","834","840","846","985","903","1,006","896","1,027","1,119","1,043","1,002","1,078","1,177","1,118","1,283","1,625","1,866","1,937","2,106","2,316","2,560","2,520","2,553","2,647","2,537","2,390","2,209","2,093","2,016","1,941","1,870","1,846","1,936","2,006","2,115","2,143","2,180","1,897","1,895","1,952","1,971","2,230","2,447","2,529","2,722","2,897","2,735","2,739","2,537","2,403","2,491","2,469","2,451","2,615","2,468","2,855","2,480","2,379","2,202","2,173","2,059","2,115","1,657","1,691","1,545","1,209","1,441","1,352","1,466","1,391","1,022","1,212","1,112","1,278","1,255","1,042","1,005","859","742","698","599","526","465","345","316","270","207","203","129","122","100","72","62","60","57","32","267"
"서울특별시 중구 (1114000000)","126,120","126,120","639","624","663","792","751","745","761","716","701","721","610","625","694","618","573","618","730","736","834","1,150","1,305","1,374","1,542","1,689","1,888","1,929","2,114","2,315","2,322","2,086","2,075","2,050","2,065","1,950","2,016","1,948","2,013","2,062","2,115","2,062","2,029","1,741","1,732","1,620","1,618","1,762","1,813","1,873","2,095","2,170","2,090","2,231","2,123","1,921","1,949","2,094","1,918","2,238","2,067","2,342","2,146","2,021","1,990","1,903","1,793","1,896","1,470","1,450","1,379","1,115","1,312","1,157","1,252","1,161","893","949","949","1,026","1,067","804","758","729","555","576","513","422","363","312","248","210","201","165","141","91","59","53","45","46","34","23","196"
"서울특별시 용산구 (1117000000)","229,393","229,393","1,140","1,303","1,289","1,398","1,520","1,452","1,400","1,515","1,455","1,496","1,376","1,416","1,528","1,455","1,441","1,558","1,592","1,636","1,781","2,228","2,483","2,522","2,692","2,940","3,143","3,513","3,605","4,077","4,212","4,003","3,924","3,778","3,781","3,612","3,741","3,558","3,817","3,894","3,968","4,056","3,822","3,181","3,285","3,115","3,262","3,472","3,678","3,845","4,104","4,194","4,048","4,058","3,687","3,373","3,530","3,534","3,338","3,670","3,590","3,872","3,640","3,319","3,357","3,062","2,936","3,015","2,384","2,291","2,078","1,837","2,047","1,948","2,041","1,829","1,435","1,548","1,531","1,743","1,718","1,365","1,285","1,193","1,136","1,052","924","773","628","522","501","367","324","296","235","161","141","109","91","98","66","46","365"
"서울특별시 성동구 (1120000000)","297,820","297,820","1,925","2,062","2,090","2,289","2,212","2,292","2,112","2,114","2,075","1,962","1,824","1,845","2,055","1,822","1,851","1,892","2,021","2,038","2,443","3,120","3,441","3,600","3,948","4,396","4,785","4,928","5,110","5,256","5,259","4,873","4,921","4,866","4,739","4,756","4,902","4,840","5,143","5,244","5,426","5,180","4,960","4,394","4,257","4,181","4,177","4,402","4,692","4,848","4,969","5,278","5,069","5,206","4,792","4,421","4,706","4,739","4,398","4,895","4,671","5,203","4,781","4,500","4,209","4,006","3,640","3,796","2,947","2,843","2,663","2,303","2,541","2,290","2,393","2,455","1,656","1,876","1,801","2,067","1,924","1,548","1,377","1,255","1,138","1,067","858","737","616","484","414","326","269","246","156","150","94","47","61","54","45","33","239"
"서울특별시 광진구 (1121500000)","349,800","349,800","1,581","1,761","1,749","1,967","2,116","2,234","2,189","2,431","2,283","2,463","2,255","2,374","2,660","2,542","2,336","2,590","2,662","2,745","2,892","3,747","4,185","4,722","5,294","5,882","6,578","6,874","7,352","7,600","7,320","6,643","6,476","6,217","5,730","5,551","5,584","5,102","5,478","5,681","5,804","5,649","5,539","4,973","4,832","4,854","4,893","5,204","5,587","5,813","5,931","6,123","5,810","6,006","5,635","5,327","5,344","5,384","4,860","5,641","5,239","5,990","5,597","5,072","4,933","4,517","4,345","4,374","3,369","3,457","3,079","2,556","2,658","2,714","2,738","2,643","1,841","1,967","1,949","2,114","1,971","1,613","1,457","1,411","1,144","1,045","886","776","592","491","430","321","292","237","200","141","94","81","63","59","44","37","208"
"서울특별시 동대문구 (1123000000)","345,815","345,815","1,780","1,873","2,000","2,119","2,348","2,334","2,171","2,371","2,273","2,315","2,197","2,208","2,425","2,163","2,080","2,225","2,389","2,443","2,753","3,919","4,290","4,636","5,306","5,772","6,131","6,199","6,097","6,215","5,845","5,450","5,132","5,056","4,726","4,719","4,787","4,794","5,133","5,466","5,684","5,547","5,361","4,857","4,775","4,632","4,705","5,051","5,266","5,573","5,633","5,898","5,559","5,851","5,240","5,221","5,231","5,322","4,799","5,458","5,302","6,141","5,739","5,435","5,188","4,903","4,750","4,977","3,914","3,893","3,620","3,024","3,367","3,162","3,271","3,238","2,335","2,571","2,508","2,863","2,660","2,148","1,884","1,767","1,510","1,326","1,164","1,028","834","671","552","400","349","303","240","195","111","93","90","88","55","45","298"
"서울특별시 중랑구 (1126000000)","394,982","394,982","1,871","2,148","2,161","2,346","2,534","2,484","2,464","2,577","2,647","2,563","2,428","2,475","2,589","2,532","2,436","2,506","2,765","2,900","3,128","3,908","4,186","4,298","4,779","5,265","5,769","6,026","6,442","6,696","6,597","6,032","5,864","5,829","5,565","5,641","5,582","5,410","5,769","6,128","6,325","6,388","6,248","5,309","5,213","5,076","5,290","5,466","6,037","6,327","6,547","6,974","6,822","7,287","6,780","6,644","6,712","7,008","6,419","7,461","7,092","8,069","7,617","6,772","6,590","6,009","5,878","6,148","4,722","4,647","4,361","3,485","3,922","3,702","3,703","3,737","2,530","2,746","2,646","2,971","2,772","2,142","2,015","1,776","1,535","1,349","1,174","1,007","824","665","505","439","357","320","256","165","134","97","76","74","53","30","197"
"서울특별시 성북구 (1129000000)","442,148","442,148","2,107","2,359","2,557","2,873","3,245","3,239","3,201","3,407","3,562","3,639","3,344","3,415","3,671","3,578","3,328","3,668","3,902","3,824","4,377","5,472","5,895","6,082","6,568","7,066","7,113","7,134","7,127","7,116","6,815","6,174","5,974","5,652","5,557","5,602","5,819","5,704","6,293","6,629","7,085","7,033","6,975","6,326","6,131","6,201","6,534","7,092","7,768","7,997","8,156","8,260","7,950","8,012","7,000","6,799","6,610","6,601","6,230","6,820","6,503","7,433","6,890","6,459","6,266","5,742","5,677","5,857","4,515","4,593","4,252","3,519","4,085","3,809","3,880","3,872","2,761","2,981","3,008","3,400","3,282","2,537","2,341","2,218","1,869","1,662","1,462","1,290","923","841","657","546","445","389","327","255","159","111","86","88","66","47","377"
"서울특별시 강북구 (1130500000)","312,270","312,270","1,081","1,289","1,457","1,641","1,705","1,804","1,768","1,957","2,019","2,084","1,872","2,059","2,110","2,072","2,039","2,082","2,325","2,416","2,723","3,218","3,550","3,749","4,071","4,379","4,571","4,535","4,805","4,951","4,670","4,110","3,892","3,908","3,601","3,595","3,814","3,707","4,059","4,386","4,458","4,537","4,714","4,175","4,186","4,147","4,340","4,728","5,177","5,383","5,623","5,765","5,540","5,662","5,329","4,940","5,150","5,208","4,851","5,454","5,206","6,084","5,728","5,268","5,098","4,757","4,694","4,878","3,780","3,847","3,718","3,146","3,456","3,514","3,530","3,382","2,364","2,773","2,650","3,026","2,915","2,228","1,964","1,790","1,559","1,375","1,244","950","721","575","508","392","325","322","220","153","117","97","69","68","65","29","244"
